request_id,requested_datetime,updated_datetime,status_description,agency_responsible,service_type,service_subtype,address,street,supervisor_district,neighborhood,police_district,latitude,longitude,source
17598709,2023-11-28T01:31:07.000,2023-11-28T05:46:59.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"599 THE EMBARCADERO, SAN FRANCISCO, CA, 94111",THE EMBARCADERO,3.0,Northern Waterfront,CENTRAL,37.800961397623,-122.399447998146,Mobile/Open311
17598706,2023-11-28T01:25:35.000,2023-11-28T05:46:53.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"100 DAVIS ST, SAN FRANCISCO, CA, 94111",DAVIS ST,3.0,Financial District,CENTRAL,37.793647352795,-122.39748784,Mobile/Open311
17598703,2023-11-28T01:24:17.000,2023-11-28T05:46:48.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"2415 SUTTER ST, SAN FRANCISCO, CA, 94115",SUTTER ST,5.0,Lower Pacific Heights,RICHMOND,37.785164220379,-122.440129989656,Mobile/Open311
17598702,2023-11-28T01:19:54.000,2023-11-28T05:39:59.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"8 EXCELSIOR AVE, SAN FRANCISCO, CA, 94112",EXCELSIOR AVE,11.0,Excelsior,INGLESIDE,37.726113398815,-122.433630991848,Mobile/Open311
17598701,2023-11-28T01:15:56.000,2023-11-28T05:46:42.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"3900 SCOTT ST, SAN FRANCISCO, CA, 94123",SCOTT ST,2.0,Marina,NORTHERN,37.805941829206,-122.441989006647,Mobile/Open311
17598700,2023-11-28T01:14:00.000,2023-11-28T01:19:36.000,Open,DBI Housing Inspection Queue,Residential Building Request,Building - Hot_Water_Lack_of_Hot_Water,"1201 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94115",GOLDEN GATE AVE,5.0,Western Addition,NORTHERN,0.0,0.0,Phone
17598698,2023-11-28T01:12:29.000,2023-11-28T05:46:26.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"3675 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,2.0,Lone Mountain,RICHMOND,37.78116901,-122.4585498,Mobile/Open311
17598697,2023-11-28T01:11:57.000,2023-11-28T05:39:11.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"518 VISITACION AVE, SAN FRANCISCO, CA, 94134",VISITACION AVE,10.0,Visitacion Valley,INGLESIDE,37.710559732051,-122.404609719422,Mobile/Open311
17598696,2023-11-28T01:11:00.000,2023-11-28T01:13:15.000,Open,Tenderloin CBD Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Intersection of JONES ST and ANTONIO ST,JONES ST,5.0,Tenderloin,TENDERLOIN,37.78529239111,-122.412976477046,Mobile/Open311
17598695,2023-11-28T01:10:29.000,2023-11-28T01:15:36.000,Open,DPW BSM Queue,Noise Report,construction_public,"251 DIVISADERO ST, SAN FRANCISCO, CA, 94117",DIVISADERO ST,5.0,Buena Vista,NORTHERN,37.771253409336,-122.437097045836,Mobile/Open311
17598693,2023-11-28T01:08:55.000,2023-11-28T05:46:20.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,Intersection of HYDE ST and LOMBARD ST,HYDE ST,3.0,Russian Hill,CENTRAL,37.802063238929,-122.419756930404,Mobile/Open311
17598691,2023-11-28T01:05:48.000,2023-11-28T05:46:05.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"3408 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1.0,Outer Richmond,RICHMOND,37.775893606741,-122.495362952111,Mobile/Open311
17598688,2023-11-28T01:01:40.000,2023-11-28T05:45:59.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"1905 15TH ST, SAN FRANCISCO, CA, 94114",15TH ST,8.0,Mission Dolores,MISSION,37.766187983985,-122.426707557393,Mobile/Open311
17598687,2023-11-28T01:01:38.000,2023-11-28T01:02:25.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"1396 23RD AVE, SAN FRANCISCO, CA, 94122",23RD AVE,4.0,Outer Sunset,TARAVAL,37.761573703063,-122.481127046163,Mobile/Open311
17598686,2023-11-28T01:00:11.000,2023-11-28T05:45:39.000,Open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,"1098 THE EMBARCADERO, SAN FRANCISCO, CA, 94111",THE EMBARCADERO,3.0,Northern Waterfront,CENTRAL,37.803981187789,-122.401645733158,Mobile/Open311
17598684,2023-11-28T00:50:00.000,2023-11-28T00:51:15.000,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,"1819 CLAY ST, SAN FRANCISCO, CA, 94109",CLAY ST,2.0,Pacific Heights,NORTHERN,37.792178474126,-122.42302316925,Mobile/Open311
