service_request_id,requested_datetime,updated_datetime,status_description,status_notes,agency_responsible,service_name,service_subtype,service_details,address,street,supervisor_district,neighborhoods_sffind_boundaries,police_district,lat,long,point,source,bos_2012,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_jx4q_fizf,:@computed_region_bh8s_q3mv,:@computed_region_p5aj_wyqh,:@computed_region_fyvs_ahh9,:@computed_region_f58d_8dbm,:@computed_region_vtsz_7cme,:@computed_region_sruu_94in,:@computed_region_6pnf_4xz7,:@computed_region_jwn9_ihcz,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_2dwj_jsy4,:@computed_region_nqbw_i6c3,:@computed_region_9dfj_4gjx,:@computed_region_4isq_27mq,:@computed_region_viu7_rrfi,:@computed_region_fcz8_est8,media_url,closed_date,:@computed_region_n4xg_c4py,:@computed_region_y6ts_4iup
17598709,2023-11-28T01:31:07.000,2023-11-28T05:46:59.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"599 THE EMBARCADERO, SAN FRANCISCO, CA, 94111",THE EMBARCADERO,3,Northern Waterfront,CENTRAL,37.800961397623,-122.399447998146,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.8009614', 'longitude': '-122.399448'}",Mobile/Open311,3,77,6,3,8,10,3,1,28860,1,6,6,77,3,1,77,,,,,,,,,,,,,,
17598706,2023-11-28T01:25:35.000,2023-11-28T05:46:53.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"100 DAVIS ST, SAN FRANCISCO, CA, 94111",DAVIS ST,3,Financial District,CENTRAL,37.793647352795,-122.39748784,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79364735', 'longitude': '-122.39748784'}",Mobile/Open311,3,108,6,3,8,10,4,1,28860,1,6,6,108,3,2,108,,,,,,,,,,,,,,
17598703,2023-11-28T01:24:17.000,2023-11-28T05:46:48.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2415 SUTTER ST, SAN FRANCISCO, CA, 94115",SUTTER ST,5,Lower Pacific Heights,RICHMOND,37.785164220379,-122.440129989656,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78516422', 'longitude': '-122.44012999'}",Mobile/Open311,5,103,8,11,15,11,15,9,29490,6,13,13,103,11,2,103,,,,,,,,,,,,,,
17598702,2023-11-28T01:19:54.000,2023-11-28T05:39:59.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"8 EXCELSIOR AVE, SAN FRANCISCO, CA, 94112",EXCELSIOR AVE,11,Excelsior,INGLESIDE,37.726113398815,-122.433630991848,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.7261134', 'longitude': '-122.43363099'}",Mobile/Open311,11,90,9,1,7,6,9,4,28861,7,5,5,90,1,2,90,4,,,,,,,,,,,,,
17598701,2023-11-28T01:15:56.000,2023-11-28T05:46:42.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3900 SCOTT ST, SAN FRANCISCO, CA, 94123",SCOTT ST,2,Marina,NORTHERN,37.805941829206,-122.441989006647,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80594183', 'longitude': '-122.44198901'}",Mobile/Open311,2,17,4,6,13,1,13,6,57,9,17,17,17,6,1,17,,,,,,,,,,,,,,
17598700,2023-11-28T01:14:00.000,2023-11-28T01:19:36.000,Open,N/A,DBI Housing Inspection Queue,Residential Building Request,Building - Hot_Water_Lack_of_Hot_Water,Hot_Water_Lack_of_Hot_Water,"1201 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94115",GOLDEN GATE AVE,5,Western Addition,NORTHERN,0.000000000000,0.000000000000,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '0.0', 'longitude': '0.0'}",Phone,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17598698,2023-11-28T01:12:29.000,2023-11-28T05:46:26.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3675 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,2,Lone Mountain,RICHMOND,37.78116901,-122.4585498,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78116901', 'longitude': '-122.4585498'}",Mobile/Open311,1,12,8,4,18,2,11,9,54,6,16,16,12,4,1,12,,,,,,,,,,,,,,
17598697,2023-11-28T01:11:57.000,2023-11-28T05:39:11.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"518 VISITACION AVE, SAN FRANCISCO, CA, 94134",VISITACION AVE,10,Visitacion Valley,INGLESIDE,37.710559732051,-122.404609719422,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.71055973', 'longitude': '-122.40460972'}",Mobile/Open311,10,75,9,9,40,8,9,4,309,7,39,39,75,9,2,75,,,,,,,,,,,,,,
17598696,2023-11-28T01:11:00.000,2023-11-28T01:13:15.000,Open,open,Tenderloin CBD Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,Intersection of JONES ST and ANTONIO ST,JONES ST,5,Tenderloin,TENDERLOIN,37.78529239111,-122.412976477046,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78529239', 'longitude': '-122.41297648'}",Mobile/Open311,6,20,5,10,36,9,7,10,28852,10,36,36,20,10,2,20,,6,1,1,,,,,,,,,,
17598695,2023-11-28T01:10:29.000,2023-11-28T01:15:36.000,Open,accepted,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"251 DIVISADERO ST, SAN FRANCISCO, CA, 94117",DIVISADERO ST,5,Buena Vista,NORTHERN,37.771253409336,-122.437097045836,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77125341', 'longitude': '-122.43709705'}",Mobile/Open311,5,112,4,11,3,11,15,8,29492,5,9,9,112,11,1,112,,,,,,,,,,,,,,
17598693,2023-11-28T01:08:55.000,2023-11-28T05:46:20.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of HYDE ST and LOMBARD ST,HYDE ST,3,Russian Hill,CENTRAL,37.802063238929,-122.419756930404,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80206324', 'longitude': '-122.41975693'}",Mobile/Open311,2,107,6,6,32,1,5,1,28858,1,32,32,107,6,1,107,,,,,,,,,,,,,,
